"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.019388042E0,6.023474121E-1,6.031557312E0,8.476572876E0,1.042088258E1
1.029366042E0,9.044192505E-1,5.972579956E0,8.348289642E0,1.030454392E1
1.039344042E0,1.136586456E0,5.945186920E0,8.366401978E0,1.032636230E1
1.049322042E0,1.187181244E0,5.853278046E0,8.430618439E0,1.033177576E1
1.059300042E0,1.226250000E0,5.770799561E0,8.450077972E0,1.030580586E1
1.069278042E0,1.263372803E0,5.758525085E0,8.422984314E0,1.028121524E1
1.079255042E0,1.291514282E0,5.716612244E0,8.399183807E0,1.024177491E1
1.089233042E0,1.178948364E0,5.707780609E0,8.295000458E0,1.013783563E1
1.099211042E0,9.818083191E-1,5.761668549E0,8.219557343E0,1.008572729E1
1.109189042E0,8.393046570E-1,5.810167694E0,8.159532166E0,1.005188769E1
1.119167042E0,8.018824768E-1,5.854026489E0,8.201445007E0,1.010823139E1
1.129145042E0,8.068222046E-1,5.882317657E0,8.268056488E0,1.017906583E1
1.139123042E0,8.553213501E-1,5.927373962E0,8.256680145E0,1.019990704E1
1.149101042E0,8.753796387E-1,5.961502991E0,8.183632050E0,1.016256075E1
1.159079042E0,8.140072632E-1,6.018085327E0,8.190068665E0,1.019593956E1
1.169057042E0,7.238946533E-1,6.078709259E0,8.056696014E0,1.011855130E1
1.179035042E0,6.991960144E-1,6.111491089E0,7.919880524E0,1.002814569E1
1.189013042E0,7.056326294E-1,6.170917511E0,7.781568146E0,9.956452337E0
1.198991042E0,6.721023560E-1,6.261179810E0,7.669451294E0,9.923435763E0
1.208969042E0,5.911207581E-1,6.322402496E0,7.556436310E0,9.870254646E0
1.218946042E0,4.487667847E-1,6.345604248E0,7.450007629E0,9.796463575E0
1.228924042E0,3.263214111E-1,6.416107635E0,7.281907196E0,9.710772125E0
1.238902042E0,2.110610962E-1,6.455775146E0,7.183561707E0,9.660493689E0
