Times (us),interval (us),strain (raw),sensorValue0 (raw)
3752204,12504,4433601,309
3764704,12500,4430219,309
3777208,12504,4426666,308
3789708,12500,4423758,308
3802208,12500,4422108,309
3814708,12500,4423321,309
3827212,12504,4425989,308
3839712,12500,4429664,308
3852212,12500,4433062,308
3864712,12500,4435620,308
3877212,12500,4437035,307
3889712,12500,4436822,307
3902212,12500,4435054,308
3914712,12500,4432266,308
3927216,12504,4425618,307
3939716,12500,4423254,307
3952216,12500,4422210,308
3964720,12504,4422777,308
3977224,12504,4424631,307
3989728,12504,4427464,307
4002228,12500,4430998,307
4014732,12504,4433950,307
4027236,12504,4435790,306
4039736,12500,4436475,306
4052236,12500,4433695,307
4064736,12500,4430785,307
4077236,12500,4427702,306
4089736,12500,4424753,306
4102236,12500,4422843,307
4114736,12500,4422211,307
4127240,12504,4423140,306
4139744,12504,4425426,306
4152244,12500,4428687,306
4164748,12504,4434600,306
4177248,12500,4436458,306
4189748,12500,4436853,306
4202248,12500,4435435,306
4214752,12504,4432707,306
4227252,12500,4429340,305
4239752,12500,4426209,305
4252256,12504,4423734,306
4264756,12500,4422216,306
4277256,12500,4422218,305
4289756,12500,4426986,305
4302256,12500,4430003,306
4314756,12500,4432855,306
4327256,12500,4434912,305
4339756,12500,4436032,305
4352256,12500,4435784,305
4364756,12500,4434125,305
4377256,12500,4431508,305
4389756,12500,4428466,304
4402256,12500,4423289,305
4414756,12500,4422452,305
4427256,12500,4422780,304
4439756,12500,4424532,304
4452256,12500,4427313,305
4464760,12504,4430432,305
4477260,12500,4433479,304
4489760,12500,4435711,304
4502260,12500,4436263,304
4514764,12504,4435528,304
4527264,12500,4430402,304
4539768,12504,4427104,304
4552268,12500,4424435,304
4564768,12500,4422862,304
4577268,12500,4422537,304
4589768,12500,4423774,303
4602268,12500,4426188,304
4614768,12500,4429007,304
4627272,12504,4431742,303
4639772,12500,4434044,303
4652272,12500,4435304,304
4664772,12500,4434252,304
4677276,12504,4432204,303
4689780,12504,4429328,303
4702280,12500,4426643,304
4714780,12500,4424294,304
4727280,12500,4422894,303
4739780,12500,4422873,303
4752280,12500,4424009,303
4764780,12500,4428545,304
4777284,12504,4431483,303
4789788,12504,4433997,303
4802288,12500,4435564,303
4814788,12500,4435683,303
4827292,12504,4434291,303
4839796,12504,4431638,302
4852296,12500,4428580,303
4864796,12500,4425629,303
4877296,12500,4423147,302
4889800,12504,4422336,302
4902300,12500,4424021,303
4914800,12500,4426937,303
4927304,12504,4430155,302
4939804,12500,4433133,302
4952304,12500,4435080,303
4964808,12504,4435732,303
4977312,12504,4434683,302
4989812,12500,4432314,302
5002316,12504,4426899,302
5014820,12504,4424810,303
5027324,12504,4423331,302
5039828,12504,4422821,302
5052332,12504,4423580,302
5064832,12500,4425409,303
