Times (us),interval (us),strain (raw),sensorValue0 (raw)
5354612,12500,4054877,305
5367112,12500,4051820,305
5379612,12500,4054099,305
5392112,12500,4054502,305
5404612,12500,4052341,304
5417112,12500,4052413,305
5429616,12504,4054619,305
5442116,12500,4054218,305
5454616,12500,4052026,304
5467116,12500,4052899,305
5479620,12504,4053611,305
5492120,12500,4051801,304
5504620,12500,4053253,304
5517120,12500,4054827,305
5529620,12500,4053266,305
5542120,12500,4051792,304
5554624,12504,4053418,304
5567124,12500,4054504,304
5579624,12500,4052700,305
5592124,12500,4051901,304
5604624,12500,4054191,304
5617124,12500,4052290,304
5629628,12504,4052315,304
5642128,12500,4054201,304
5654632,12504,4053896,304
5667132,12500,4052139,304
5679632,12500,4052877,304
5692136,12504,4054365,304
5704636,12500,4053175,304
5717136,12500,4051860,304
5729636,12500,4074936,304
5742136,12500,4124384,304
5754636,12500,4154669,303
5767136,12500,4148090,304
5779636,12500,4132801,304
5792136,12500,4127243,304
5804636,12500,4134812,303
5817136,12500,4147480,304
5829636,12500,4150794,304
5842140,12504,4131633,304
5854640,12500,4113895,303
5867144,12504,4087697,304
5879644,12500,4061493,304
5892144,12500,4044762,304
5904644,12500,4041719,303
5917148,12504,4047425,304
5929648,12500,4046775,304
5942148,12500,4039210,304
5954648,12500,4039486,303
5967152,12504,4045212,304
5979652,12500,4038652,304
5992152,12500,4040470,304
6004652,12500,4046469,303
6017152,12500,4043848,304
6029652,12500,4038192,304
6042156,12504,4041345,304
6054656,12500,4046346,303
6067156,12500,4042526,304
6079656,12500,4042308,304
6092156,12500,4046046,304
6104660,12504,4041475,303
6117160,12500,4038456,304
6129660,12500,4043308,304
6142164,12504,4045368,304
6154668,12504,4040416,303
6167168,12500,4039076,304
6179668,12500,4043765,304
6192172,12504,4044285,304
6204672,12500,4039857,303
6217172,12500,4044329,304
6229672,12500,4043525,304
6242172,12500,4039232,304
6254672,12500,4040724,303
6267172,12500,4044586,304
6279672,12500,4042499,304
6292172,12500,4039133,304
6304672,12500,4052027,303
6317176,12504,4106761,304
6329676,12500,4196215,304
6342176,12500,4220812,304
6354680,12504,4237472,303
6367180,12500,4251056,304
6379684,12504,4270632,304
6392184,12500,4305393,304
6404684,12500,4348833,303
6417184,12500,4391172,304
6429684,12500,4433896,304
6442188,12504,4511626,304
6454688,12500,4547055,303
6467188,12500,4580273,303
6479692,12504,4609082,304
6492192,12500,4629962,303
6504692,12500,4642551,303
6517192,12500,4645430,303
6529692,12500,4637294,304
6542192,12500,4615702,303
6554692,12500,4578610,303
6567192,12500,4460897,303
6579692,12500,4387124,304
6592192,12500,4313287,303
6604696,12504,4245401,303
6617196,12500,4187035,303
6629700,12504,4140127,304
6642204,12504,4107061,303
6654704,12500,4087470,303
6667204,12500,4077301,303
6679708,12504,4069826,304
6692208,12500,4054599,303
6704708,12500,4050510,303
6717208,12500,4051990,303
6729708,12500,4055014,304
6742208,12500,4053131,303
6754708,12500,4050418,303
6767212,12504,4052416,303
6779716,12504,4054775,303
6792220,12504,4052434,303
6804720,12500,4052790,303
6817224,12504,4054647,303
6829724,12500,4051738,303
6842224,12500,4050285,303
6854728,12504,4053240,302
6867228,12500,4054103,303
6879732,12504,4051089,303
6892232,12500,4050441,303
6904736,12504,4053210,302
6917240,12504,4053315,302
6929740,12500,4050868,303
6942240,12500,4053367,303
6954740,12500,4052718,302
6967240,12500,4050313,302
6979740,12500,4051185,303
6992240,12500,4053535,303
7004744,12504,4052272,302
7017244,12500,4050114,302
7029744,12500,4051473,303
7042244,12500,4051491,303
7054744,12500,4050151,302
7067244,12500,4051889,302
7079744,12500,4052900,303
7092244,12500,4051081,303
7104744,12500,4050378,302
7117248,12504,4052183,302
7129748,12500,4052684,303
7142248,12500,4050746,303
7154748,12500,4050572,302
7167252,12504,4052111,302
7179752,12500,4050143,303
7192252,12500,4050850,303
7204752,12500,4052823,302
7217252,12500,4051756,302
7229752,12500,4050012,303
7242252,12500,4051194,303
7254756,12504,4052739,302
7267260,12504,4051235,302
7279764,12504,4049775,303
7292268,12504,4052700,303
7304768,12500,4050955,302
7317272,12504,4049783,302
7329772,12500,4051548,303
7342276,12504,4052317,303
7354780,12504,4050611,302
7367280,12500,4050001,302
7379780,12500,4051789,303
7392280,12500,4052159,303
7404780,12500,4050128,302
7417284,12504,4051807,302
7429788,12504,4051717,303
7442288,12500,4050105,303
7454788,12500,4050391,302
7467288,12500,4051846,302
7479788,12500,4051405,303
7492288,12500,4050070,303
7504788,12500,4050793,302
7517288,12500,4051713,302
7529788,12500,4050181,303
7542288,12500,4050995,303
7554792,12504,4051589,302
7567292,12500,4050551,302
7579792,12500,4050221,303
7592292,12500,4051163,303
7604792,12500,4051478,302
7617292,12500,4050343,302
7629792,12500,4050054,303
7642296,12504,4051173,303
7654796,12500,4050341,302
7667300,12504,4050396,302
7679800,12500,4051219,303
7692300,12500,4051558,303
7704800,12500,4064989,302
7717300,12500,4122479,302
7729800,12500,4193966,303
7742300,12500,4264010,303
7754800,12500,4333459,302
7767304,12504,4454644,302
7779804,12500,4508972,303
7792304,12500,4557580,303
7804804,12500,4597652,302
7817308,12504,4628855,302
7829808,12500,4650167,303
7842308,12500,4660902,303
7854808,12500,4662692,302
7867308,12500,4656167,302
7879808,12500,4641395,303
7892312,12504,4583042,303
7904812,12500,4538918,302
7917312,12500,4486023,302
7929812,12500,4423874,303
7942312,12500,4351890,303
7954812,12500,4273163,302
7967312,12500,4191133,302
7979812,12500,4112065,303
7992312,12500,4049075,303
8004816,12504,-921759,302
8027584,22768,4041429,303
8040084,12500,4031134,302
8052584,12500,4061576,302
8065084,12500,4068054,302
8077588,12504,4037677,303
8090092,12504,4034672,302
8102592,12500,4064481,302
8115096,12504,4063951,302
8127600,12504,4034961,303
8140104,12504,4038918,302
8152604,12500,4059183,302
8165104,12500,4033516,302
8177608,12504,4043652,303
8190108,12500,4067130,302
8202612,12504,4054325,302
8215112,12500,4033071,302
8227616,12504,4048046,303
8240120,12504,4066550,302
8252620,12500,4049733,302
8265120,12500,4033920,302
8277620,12500,4065045,303
8290120,12500,4045903,302
8302620,12500,4035677,302
8315120,12500,4055486,302
8327624,12504,4062747,303
8340124,12500,4042696,302
8352624,12500,4038202,302
8365128,12504,4058175,302
8377628,12500,4060078,302
8390128,12500,4041046,302
8402628,12500,4059887,302
8415128,12500,4056740,302
8427628,12500,4038820,302
8440128,12500,4044199,302
8452632,12504,4060821,302
8465136,12504,4053579,302
8477636,12500,4038345,302
8490140,12504,4047300,302
8502640,12500,4060811,301
8515140,12500,4038455,302
8527644,12504,4050405,302
8540144,12500,4060299,302
8552644,12500,4047412,301
8565148,12504,4039474,302
8577652,12504,4052907,302
8590152,12500,4058620,302
8602656,12504,4044881,301
8615160,12504,4041114,302
8627664,12504,4054992,302
8640164,12500,4043058,302
8652668,12504,4043054,301
8665168,12500,4056178,302
8677672,12504,4054603,302
8690176,12504,4042117,302
8702676,12500,4045236,301
8715180,12504,4056874,302
8727680,12500,4052213,302
8740180,12500,4041608,302
8752684,12504,4057025,301
8765184,12500,4050185,302
8777684,12500,4041628,302
8790184,12500,4049434,302
8802684,12500,4056570,301
8815184,12500,4048146,302
8827688,12504,4042245,302
8840196,12508,4051075,302
8852696,12500,4055446,301
8865196,12500,4046389,302
8877696,12500,4052367,302
8890196,12500,4053965,302
8902696,12500,4044975,301
8915196,12500,4044501,301
8927696,12500,4053245,302
8940196,12500,4052556,302
8952696,12500,4044247,301
8965200,12504,4046050,301
8977700,12500,4053851,302
8990200,12500,4043633,302
9002700,12500,4047535,301
9015200,12500,4054014,301
9027704,12504,4049214,302
9040204,12500,4043550,302
9052708,12504,4048910,301
9065208,12500,4053647,301
9077708,12500,4047823,302
9090208,12500,4044121,302
9102712,12504,4050486,301
9115212,12500,4046304,301
9127712,12500,4044463,302
9140212,12500,4051324,302
9152712,12500,4052129,301
9165216,12504,4045325,301
9177716,12500,4045485,302
9190216,12500,4052181,302
9202716,12500,4050995,301
9215220,12504,4044755,301
9227720,12500,4046820,302
9240220,12500,4049628,302
9252720,12500,4044378,301
9265220,12500,4047833,301
9277720,12500,4052419,302
9290220,12500,4048501,302
9302724,12504,4044505,301
9315224,12500,4048815,301
9327728,12504,4052339,302
9340232,12504,4047561,302
9352732,12500,4049379,301
9365232,12500,4051567,301
9377736,12504,4046629,302
9390236,12500,4045108,302
9402736,12500,4050173,301
9415236,12500,4050970,301
9427740,12504,4046059,302
9440240,12500,4046012,302
9452740,12500,4050951,301
9465240,12500,4050238,301
9477740,12500,4046781,302
9490244,12504,4051180,302
9502744,12500,4049362,301
9515244,12500,4045289,301
9527744,12500,4047417,302
9540244,12500,4051079,302
9552744,12500,4048466,301
9565248,12504,4045386,301
9577748,12500,4048258,302
9590248,12500,4047623,302
9602748,12500,4045609,301
9615252,12504,4048926,301
9627752,12500,4050373,302
9640252,12500,4046946,302
9652752,12500,4045981,301
9665252,12500,4049313,301
9677752,12500,4050014,302
9690252,12500,4046788,302
9702752,12500,4046466,301
9715252,12500,4049507,301
9727752,12500,4046287,302
9740252,12500,4046838,302
9752752,12500,4049780,301
9765256,12504,4048785,301
9777756,12500,4046110,302
9790256,12500,4047496,302
9802756,12500,4049872,301
9815256,12500,4048093,301
9827756,12500,4046215,302
9840260,12504,4049748,302
9852764,12504,4047393,301
9865268,12504,4046182,301
9877768,12500,4048675,302
9890268,12500,4049632,302
9902768,12500,4047133,301
9915268,12500,4046536,301
9927772,12504,4048941,302
9940272,12500,4049053,302
9952772,12500,4046926,301
9965272,12500,4049448,301
9977772,12500,4048672,302
9990276,12504,4045947,302
10002776,12500,4046980,301
10015276,12500,4049860,301
10027776,12500,4048570,302
10040276,12500,4045695,302
10052776,12500,4047207,301
10065276,12500,4049911,301
